,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
logit_l1,0.7316111068141388,0.7974035891561665,0.755229283990346,0.6835154468988287,0.6900642988364972,0.5500760230052224
logit_l2,0.7317148600587599,0.7974190592547342,0.7552785039211743,0.6839378238341969,0.6901591674318948,0.5501057641459545
DT,0.7302416212003118,0.8561595303168337,0.7527262222864158,0.9496774193548388,0.9640644361833952,0.6931150293870697
RF,0.5055918888587903,0.5646366406478274,0.564600292214569,0.5035892560019016,0.5871620401035708,0.4838298814929671
AdaBoost,0.6868529286626011,0.8204999161214561,0.8928390560113441,0.8129612546125461,0.8167967298402081,0.6524914486456503
GBM,0.7267725687717939,0.8119834710743802,0.8321766561514196,0.8156867384360582,0.7178255134727718,0.7108459869848156
NN,0.5464945327575117,0.5932570796052025,0.6103225205938474,0.5617311315526986,0.6184688552744567,0.5123804999703105
NN_l2,0.5451848471017801,0.5910679435392366,0.6063086813745895,0.5712440325751194,0.6185696361355082,0.5123804999703105
