,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
logit_l1,0.7473239641738877,0.7456375838926175,0.6499520613614573,0.6191827468785471,0.4094224037339557,0.2698208346743912
logit_l2,0.7473239641738877,0.7456375838926175,0.6499520613614573,0.6191827468785471,0.4094224037339557,0.2698208346743912
DT,0.747979319886405,0.8637583892617451,0.6717162032598274,0.9741770715096482,0.9703908984830804,0.68629975324536
RF,0.0696861574310056,0.0,0.0,0.012296632614453271,0.0,0.0
AdaBoost,0.678438797058181,0.7948226270373921,0.89856184084372,0.8465758607642829,0.7842765460910152,0.5967170904409398
GBM,0.7432461952960023,0.7731543624161074,0.7959731543624161,0.85262958758986,0.5631563593932322,0.7139791867825341
NN,0.28122041797131,0.15445829338446787,0.19721955896452545,0.2518917896329928,0.15752625437572929,0.1189786503594035
NN_l2,0.2743755916405738,0.1361457334611697,0.18389261744966445,0.277903897086644,0.15752625437572929,0.1189786503594035
