,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
logit_l1,0.909756648318192,0.9402551034202432,0.9722355026059816,0.9731574764115382,0.9977937748453056,0.999984960981266
logit_l2,0.9098075898393672,0.94015555189988,0.97221364671692,0.9730803757270359,0.9977884144896,0.9999906224441248
DT,0.8506065018647212,0.757126425285057,0.7675035007001401,0.7858592929070021,0.8262437088950751,0.8530457093509756
RF,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,0.8548607350071027,0.8897318124580732,0.8959304359619544,0.8975031234398212,0.9384139178539734,0.9706539528095968
GBM,0.914652229106102,0.9204422727547212,0.9841963282948144,0.9442334846282856,0.9825817121834691,0.96806953867616
NN,1.0,1.0,1.0,1.0,1.0,1.0
NN_l2,1.0,1.0,1.0,1.0,1.0,1.0
