,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
logit_l1,0.715333544103699,0.7070892778349758,0.6712016473010737,0.7407979641915842,0.6552530837941302,0.5180265654648957
logit_l2,0.7153967752134051,0.7070157376084718,0.6712016473010737,0.7407070798873034,0.6552530837941302,0.5180265654648957
DT,0.7136895352513437,0.7333431386968672,0.7401823797617296,0.7341634099790966,0.8132709485325393,0.7817836812144212
RF,0.5389819791337338,0.4981614943374025,0.5080894249154287,0.6100154503317277,0.5993194385367928,0.5274026118986495
AdaBoost,0.7470755611760986,0.7365053684365348,0.6983379908810119,0.7373443606289194,0.753721820501914,0.5480522379729881
GBM,0.7553588365475814,0.7400352993087219,0.7495219885277247,0.7477051713169136,0.7894512973202893,0.6007366893626521
NN,0.5732532405943724,0.5613325489042507,0.533828504191793,0.6326456420976098,0.5886856656741812,0.5226029690813707
NN_l2,0.5680682895984824,0.5412560670686866,0.533754963965289,0.6326456420976098,0.5886856656741812,0.5226029690813707
