,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
logit_l1,0.779427398527756,0.7909310235791938,0.8076233153956958,0.8291363912160336,0.5,0.5
logit_l2,0.7794422282095814,0.7909406254288991,0.8076258687631965,0.8291528445674821,0.772703224767229,0.7712107505901887
DT,0.8231831233500704,0.8056568371606266,0.8058515153083721,0.7792040479443558,0.7815129501208755,0.7894622718996633
RF,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,0.8555703049602769,0.8351953757503432,0.8255232534815794,0.8063294943986763,0.8198919753570024,0.8238958148690678
GBM,0.8820784048779193,0.8663626426651494,0.8706131981556392,0.8586228017396157,0.856567388282603,0.8369249241620575
NN,0.9641579261999618,0.9546639593472664,0.9994834712703248,0.9826228179547242,1.0,1.0
NN_l2,0.9640053687967504,0.9555619085721048,0.9999985760935284,0.9836005273004954,1.0,1.0
