,Serie_1_Gap_6,Serie_1_Gap_12,Serie_1_Gap_18,Serie_1_Gap_24,Serie_6_Gap_6,Serie_6_Gap_12,Serie_6_Gap_18,Serie_6_Gap_24,Serie_12_Gap_6,Serie_12_Gap_12,Serie_12_Gap_18,Serie_12_Gap_24
AdaBoost,0.995412510012379,0.9953432477091784,0.9951162790697674,0.9966206702337371,0.9954914337240758,0.9952182631497763,0.9952007678771396,0.9959715639810428,0.995074270761179,0.9949109414758268,0.9958293988039032,0.9961362838075168
DT,0.9977095351204616,0.9971455756422456,0.997623657806724,0.997508591065292,0.997368644427468,0.997028751201608,0.9973520818115412,0.9978064402913048,0.9968534219036798,0.9968391583130136,0.9974668064290706,0.99750499001996
GBM,0.9955522050508858,0.995236997772144,0.9951560390693244,0.9963333093680352,0.9951865222623344,0.9949634443541836,0.9953401677539608,0.9953337390951512,0.9951624606949931,0.9950024578076356,0.9954333265678912,0.9966307277628031
logit_l1,0.9977083930105988,0.9977145991406892,0.9981020877035262,0.9982700458437852,0.9976294995610184,0.9975648590428022,0.9972322169941876,0.997428543170804,0.9975618566010476,0.9968392674537512,0.997501784439686,0.9974552216893412
logit_l2,0.9978658253688409,0.9981333609872446,0.9984293193717276,0.9993138151875572,0.997551270278543,0.9978273750740668,0.9970905678085406,0.9981412639405204,0.9968312648534459,0.9967400162999184,0.9974388412964762,0.9974002599740026
NN,0.9957680599896056,0.9957117696607704,0.9953499559047544,0.996663948402402,0.9963998468019916,0.9960248052154556,0.9961569910057236,0.9966343785913644,0.9954494651125658,0.995808817602966,0.9964376187460418,0.9963563490617598
NN_l2,0.9958367407627684,0.9957111128130504,0.995354797373058,0.9967368733313556,0.9963411845415048,0.9960304858685296,0.9959786622897004,0.9966653111020741,0.9953744317728688,0.9958774553390995,0.9964370546318291,0.9968402997201408
RF,0.9953542392566784,0.9952081461515424,0.995052566481138,0.9963768115942028,0.9952331297482496,0.9950788158400616,0.9949149849038614,0.995811680757,0.9950791942180532,0.9949145808502186,0.995967741935484,0.996068495544295
