,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
logit_l1,0.024857586742620404,0.03103448275862069,0.031220072782991763,0.03550404709345107,0.018446823047141882,0.028288543140028287
logit_l2,0.0222528345872629,0.025228194726166327,0.0374491761181254,0.03643724696356275,0.02013170272812794,0.027491408934707903
DT,0.04093128051070222,0.045022194039315164,0.04096100827097282,0.04583244510765296,0.02958579881656805,0.03192307692307692
RF,0.18181818181818185,0.0,0.06896551724137931,0.0,0.0,
AdaBoost,0.005263157894736842,0.0065252854812398045,0.0,0.15151515151515152,0.013114754098360656,0.026178010471204192
GBM,0.015410958904109588,0.01934703748488513,0.008215962441314555,0.018957345971563986,0.013473053892215571,0.015337423312883437
NN,0.03835616438356165,0.03696098562628337,0.03240477544059125,0.047378395451674035,0.01812816188870152,0.03164556962025317
NN_l2,0.03825622775800712,0.026382978723404255,0.04283054003724395,0.04841149773071105,0.01919795221843004,0.03397508493771234
