,Serie_1_Gap_6,Serie_1_Gap_12,Serie_1_Gap_18,Serie_1_Gap_24,Serie_6_Gap_6,Serie_6_Gap_12,Serie_6_Gap_18,Serie_6_Gap_24,Serie_12_Gap_6,Serie_12_Gap_12,Serie_12_Gap_18,Serie_12_Gap_24
AdaBoost,0.5725174525207581,0.5681820238547718,0.5582850536960942,0.681309594588394,0.7377042838827569,0.576697201595341,0.7112776417345605,0.756068000092289,0.5229038556041067,0.5228554550085104,0.6075921362495652,0.6155776386948929
DT,0.49721205539917,0.5158148842410029,0.5168517024915684,0.5321600204942465,0.520127969841504,0.521079274932579,0.5166317397386059,0.5359856941875278,0.5164211645058384,0.5155764468938673,0.5377149674352094,0.5053539966022119
GBM,0.6974137499374092,0.6892445208988023,0.7121386474916798,0.69566639763719,0.7377042838827569,0.6620556931492185,0.8326097024429779,0.9669517146519218,0.6751261562414139,0.6791999188293216,0.7862049879967992,0.8831259262224344
logit_l1,0.4293176292308525,0.4654174891509271,0.4451858056363688,0.4586197903062757,0.4741405794584523,0.4526295114375984,0.4809706763196458,0.4583819352562039,0.4912401115120303,0.4819061849858906,0.5017815368784726,0.5104423013783237
logit_l2,0.4471753589161818,0.4212872455398317,0.4328469762833761,0.4115818891323514,0.4287372971959732,0.4591939251880707,0.4666148930893934,0.459761858976005,0.4921205415504515,0.4882343716860622,0.5142261233220464,0.5020389461626575
NN,1.0,0.8724902188093314,0.9241286313664452,0.936979372926356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NN_l2,1.0,0.8744562557772824,0.9318657516098618,0.951074078484042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF,0.9410643717719956,0.9707498232516598,0.9577764759031356,0.9611099574302016,0.9533219528788868,0.9679171990678168,0.9679112437344709,0.98564517721394,0.966491765660636,0.9533056428305108,0.9580020590352276,0.9547740217019752
