,Serie_1_Gap_6,Serie_1_Gap_12,Serie_1_Gap_18,Serie_1_Gap_24
RF,0.9953542392566784,0.9952081461515424,0.995052566481138,0.9960994636762556
NN,0.9740853658536586,0.974168912848158,0.9601886209029066,0.9369645469109146
NN_l2,0.972923925667828,0.9740191674153938,0.9611935683364254,0.9367555896078568
logit_l2,0.7836091753774681,0.7240940401317759,0.7408781694495981,0.6118966357874208
DT,0.8564169570267132,0.8654537286612758,0.8790970933828076,0.8104060736922756
GBM,0.9589866434378629,0.970125786163522,0.9690012368583796,0.9653827401267674
AdaBoost,0.992378048780488,0.9923629829290208,0.9924242424242424,0.9863481228668942
logit_l1,0.7613966318234611,0.8200808625336927,0.7758967223252937,0.8061572751967682
