,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
AdaBoost,0.9741024938339272,0.969574340527578,0.9922561950439648,0.9985108759240546,0.9869101978691021,0.9886771778170086
DT,0.7666940714350964,0.7742805755395683,0.7566946442845723,0.7619528798595969,0.8288323548597522,0.8467766482011323
GBM,0.9474741938430621,0.9594824140687449,0.9577837729816148,0.977982236877094,0.9426831919982605,0.9804590004261278
logit_l1,0.6559788069790811,0.7332633892885692,0.7473021582733813,0.7211615167792373,0.8125679495542509,0.8327144335545139
logit_l2,0.5785603361651595,0.6158573141486811,0.7752797761790567,0.7215337977982237,0.7735159817351598,0.8449503865587144
NN,0.9519046314058646,0.9531374900079936,0.9149680255795364,0.9198000319098016,0.8987171124157426,0.972058196871005
NN_l2,0.9506257422124784,0.9428457234212628,0.9229616306954436,0.933095782587885,0.9000217438573603,0.948073293967249
RF,0.9995889284735544,0.9994504396482814,0.9986510791366906,0.9997872679891506,0.9995216351380736,1.0
