,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
logit_l1,0.57746863066012,0.45,0.4555750829916032,0.6602086438152012,0.445054945054945,1.0
logit_l2,0.5773533424283765,0.4497842291094547,0.4553623754639578,0.6602086438152012,0.3483016695451929,1.0
DT,0.9371621621621622,0.9245767060030784,1.0,0.8891800823661551,0.5739476678043229,1.0
RF,0.4813559322033898,0.4203687445127305,0.42016511505357457,0.6188310211507846,0.3497989661114302,1.0
AdaBoost,0.66468739084876,0.5921926910299004,0.5356636750118091,0.7612998522895126,0.3497989661114302,1.0
GBM,0.7172236503856041,0.5112679262463009,0.5119926199261993,0.8936781609195402,0.3497989661114302,1.0
NN,0.523861407714099,0.4205722309987713,0.43286573146292573,0.6167390807226161,0.3497989661114302,1.0
NN_l2,0.523861407714099,0.4205722309987713,0.43286573146292573,0.6167390807226161,0.3497989661114302,1.0
