,Serie_1_Gap_6,Serie_1_Gap_12,Serie_1_Gap_18,Serie_1_Gap_24,Serie_6_Gap_6,Serie_6_Gap_12,Serie_6_Gap_18,Serie_6_Gap_24,Serie_12_Gap_6,Serie_12_Gap_12,Serie_12_Gap_18,Serie_12_Gap_24
AdaBoost,0.5906964554037477,0.6301366586802964,0.6482564578782911,0.6105721698251639,0.5619149641383286,0.6352703219810857,0.6497185180280878,0.8105320003230021,0.6792391807907135,0.8385109196943383,0.8824346767405886,0.9695180634579448
DT,0.4937240208727954,0.5155030005361639,0.4981351101862828,0.4329895969343007,0.5099102507800003,0.5180119079819544,0.5280391239962479,0.5227707713318481,0.506616110615356,0.5230088484800204,0.5136576275541519,0.5102037537778787
GBM,0.9532814291575378,0.7871327975766618,0.7441071274307594,0.9557726416638552,0.9834368614558646,0.7276623003775178,0.9351314668785085,0.8966911932617423,0.9876767968865876,0.9848537122553322,0.7249288834354427,0.8051121586495729
logit_l1,0.4514098077446654,0.4495885856936658,0.4574007333837583,0.4362697234306517,0.4939564776465597,0.4768176387708826,0.4791417869706927,0.4952420967854292,0.5173623972937536,0.5121556148476024,0.5099549461034666,0.5173079940358821
logit_l2,0.465384069067642,0.4481275990436124,0.4691089016594581,0.4397448219413619,0.4897433543391331,0.4696597071173009,0.4810086434739522,0.4748409418114812,0.5000486392262709,0.5015534574118378,0.4998753972503273,0.5073924057067978
NN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986598189462728,1.0,0.995418569309547,1.0
NN_l2,0.9973132642545413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996954923302282,1.0
RF,0.9642257755802104,0.9611380107666812,0.9890753656708736,0.9625595940098364,1.0,1.0,0.9657393884540622,0.9626133270395044,0.9904669750448376,0.9642106934966804,0.9891790652141056,0.949391755950076
