,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
AdaBoost,0.9684113314481304,0.9384371963944502,0.9714899651792258,0.9129729618286904,0.9840801458658764,0.9202181344877298
DT,0.9286000171824652,0.914790696229592,0.9279744293805542,0.9226125897892378,0.947490395898904,0.9424255946935352
GBM,0.9796926880948054,0.9769440539051808,0.9791043067593784,0.9748286362047492,0.9183610695063816,0.8955860102618041
logit_l1,0.7555568957758181,0.7758655173560867,0.8110464968383441,0.8121289889867663,0.8839649967578624,0.8760384801832071
logit_l2,0.7856751496298828,0.7212339948204219,0.8002692152655683,0.7860134049037363,0.8435085624436819,0.8412364899878063
NN,1.0,1.0,0.9999936649476416,0.9996458488695616,1.0,1.0
NN_l2,0.9935640804983168,1.0,1.0,1.0,1.0,1.0
RF,1.0,1.0,1.0,1.0,1.0,1.0
