,Serie_1_Gap_6,Serie_1_Gap_12,Serie_1_Gap_18,Serie_1_Gap_24,Serie_6_Gap_6,Serie_6_Gap_12,Serie_6_Gap_18,Serie_6_Gap_24,Serie_12_Gap_6,Serie_12_Gap_12,Serie_12_Gap_18,Serie_12_Gap_24
AdaBoost,0.009523809523809523,0.014354066985645932,0.0145985401459854,0.02197802197802198,0.013157894736842105,0.0136986301369863,0.0,0.0273224043715847,0.0396039603960396,0.004291845493562232,0.03937007874015748,0.01282051282051282
DT,0.015034695451040863,0.014319809069212413,0.013163481953290871,0.01986062717770035,0.014875239923224568,0.018308080808080808,0.01906058543226685,0.014483627204030227,0.017423442449841606,0.01981599433828733,0.015188335358444712,0.012170385395537523
GBM,0.002477291494632535,0.003329633740288568,0.002267573696145125,0.0053475935828877,0.0017921146953405016,0.005089058524173028,0.0109717868338558,0.010943912448700409,0.0050454086781029275,0.0029013539651837525,0.010964912280701756,0.012345679012345678
logit_l1,0.010279840091376356,0.010589193592180288,0.012524084778420038,0.016604540833615726,0.013120899718837864,0.012743926722421346,0.014102564102564103,0.015919811320754717,0.01700060716454159,0.013092269326683292,0.01737317581653926,0.021739130434782608
logit_l2,0.007365939893930465,0.012116892373485387,0.01149782473586078,0.016100805040252013,0.013605442176870748,0.011764705882352941,0.01647286821705426,0.011358473421172195,0.014064697609001406,0.013513513513513514,0.011991657977059436,0.019279128248114
NN,0.014476614699331846,0.009240246406570842,0.016819571865443424,0.029239766081871343,0.009560229445506692,0.007619047619047619,0.015978695073235686,0.0223463687150838,0.018159806295399514,0.011641443538998836,0.016786570743405275,0.027491408934707903
NN_l2,0.01324503311258278,0.00847457627118644,0.017857142857142856,0.02735562310030395,0.00983284169124877,0.00749063670411985,0.015604681404421328,0.02185792349726776,0.01683937823834197,0.011315417256011316,0.013824884792626729,0.0273972602739726
RF,,0.0,0.1111111111111111,0.0,,0.0,0.6666666666666666,1.0,,,,0.0
