,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
logit_l1,0.4881775951564957,0.4877560465209868,0.4877560465209868,0.487206342770908,0.4938566206336312,0.4840026840655026
logit_l2,0.6822086670363535,0.6578433739788322,0.6709927964908045,0.6592787800977543,0.6771679528838342,0.6716731150864469
DT,0.7322891193876531,0.7161958227695279,0.7153406575717333,0.6830078608915017,0.6971085499593827,0.6889910483560099
RF,0.4916320463987346,0.5005533421868084,0.4961567869934404,0.4949095659616641,0.4968902315190902,0.4855731479234185
AdaBoost,0.7491613865076407,0.7439534790132399,0.7360658376594632,0.7239227875757371,0.7173791632818847,0.6912039747012549
GBM,0.7659063843713353,0.7587931103867359,0.7646585375669039,0.7406694146000856,0.7364566409423233,0.7071370443870194
NN,0.5903111733316364,0.54557527465894,0.5531208499335989,0.5529652904475527,0.5684022136474411,0.5304884142598119
NN_l2,0.5914020526712908,0.5641474506016338,0.5662602116785383,0.5487082460526612,0.5690241673436229,0.5331296489299431
