,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
logit_l1,1.0,1.0,1.0,1.0,1.0,1.0
logit_l2,0.6060594774771421,0.5755038056145707,0.590045584868299,0.5796907145003583,0.6140125424077311,0.6658800625350285
DT,0.598145285935085,0.5748231265856727,0.6338978156391164,0.6143639767920298,0.570525341832014,0.6555853809622135
RF,0.9989013239976908,0.9990924279614696,0.9984323755698108,0.9988442245902776,0.9984579006888044,0.9994395445562078
AdaBoost,0.6890374480922143,0.6734803325013923,0.7205709453187846,0.6572894755091191,0.6763647578904082,0.7124568596796554
GBM,0.7122399955308095,0.6914873868113282,0.7213753841711186,0.6972561891773189,0.7324200678523697,0.6813073360667827
NN,0.9221243552261597,0.9018378333780244,0.9520224417813165,0.9449388594808256,0.9374164696206436,0.9519778177634878
NN_l2,0.9185862460661812,0.8998783028402879,0.956787194983602,0.9465569450544371,0.9375963812069498,0.9445149110645704
