,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
logit_l1,0.4881775951564957,0.4877560465209868,0.4877560465209868,0.487206342770908,0.4938566206336312,0.4840026840655026
logit_l2,0.7021942220975641,0.6750786353738205,0.6904158520985688,0.6750652776656169,0.6963796420451233,0.659210372620021
DT,0.8032258064516129,0.7858109632303181,0.7445308525328875,0.6986488617843436,0.7562945044461858,0.6873782203940246
RF,0.4898589105520296,0.4940736056142642,0.49187574307228005,0.4909782979206908,0.4953522473700988,0.4847557049860505
AdaBoost,0.7725488558543511,0.7724208085921791,0.7335839230591545,0.7458751934527713,0.7312031119755488,0.6702836210245879
GBM,0.7878712973262473,0.7880212495886418,0.7796553492208574,0.7523320197535791,0.7335323946562331,0.7040480399926843
NN,0.5477523118446086,0.5196895318015952,0.5230206125987286,0.5228095305086263,0.5360444437912435,0.5079882262202704
NN_l2,0.5486852642819007,0.5314209147938365,0.5307140487168632,0.520258166156348,0.5364232567714613,0.5095480585614258
