,Serie_1_Gap_6,Serie_1_Gap_12,Serie_1_Gap_18,Serie_1_Gap_24,Serie_6_Gap_6,Serie_6_Gap_12,Serie_6_Gap_18,Serie_6_Gap_24,Serie_12_Gap_6,Serie_12_Gap_12,Serie_12_Gap_18,Serie_12_Gap_24
AdaBoost,0.01818181818181818,0.054545454545454536,0.03636363636363636,0.02985074626865672,0.03636363636363636,0.03636363636363636,0.0,0.1020408163265306,0.07272727272727272,0.01818181818181818,0.1020408163265306,0.025
DT,0.7090909090909091,0.5454545454545454,0.5636363636363636,0.8507462686567164,0.5636363636363636,0.5272727272727272,0.509090909090909,0.4693877551020408,0.6,0.509090909090909,0.5102040816326531,0.45
GBM,0.054545454545454536,0.054545454545454536,0.03636363636363636,0.07462686567164177,0.03636363636363636,0.07272727272727272,0.12727272727272726,0.16326530612244894,0.09090909090909093,0.054545454545454536,0.1020408163265306,0.025
logit_l1,0.6545454545454545,0.7090909090909091,0.7090909090909091,0.7313432835820896,0.509090909090909,0.5818181818181818,0.6,0.5510204081632653,0.509090909090909,0.3818181818181817,0.5102040816326531,0.525
logit_l2,0.4545454545454545,0.6181818181818182,0.6727272727272727,0.6865671641791045,0.4727272727272727,0.6,0.6181818181818182,0.5102040816326531,0.5454545454545454,0.4909090909090909,0.4693877551020408,0.575
NN,0.2363636363636364,0.16363636363636366,0.2,0.14925373134328354,0.18181818181818185,0.14545454545454545,0.21818181818181814,0.16326530612244894,0.2727272727272727,0.18181818181818185,0.14285714285714285,0.2
NN_l2,0.21818181818181814,0.14545454545454545,0.21818181818181814,0.13432835820895522,0.18181818181818185,0.14545454545454545,0.21818181818181814,0.16326530612244894,0.2363636363636364,0.14545454545454545,0.12244897959183673,0.2
RF,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.03636363636363636,0.020408163265306117,0.0,0.0,0.0,0.0
