,Serie_1_Gap_6,Serie_1_Gap_12,Serie_1_Gap_18,Serie_1_Gap_24,Serie_6_Gap_6,Serie_6_Gap_12,Serie_6_Gap_18,Serie_6_Gap_24,Serie_12_Gap_6,Serie_12_Gap_12,Serie_12_Gap_18,Serie_12_Gap_24
RF,0.9955964771817454,0.9954364420843014,0.9945755123127259,0.9942896105002984,0.9952989690721651,0.9952939163172756,0.9947550893412748,0.9956065632565227,0.9952939163172756,0.9951106765045782,0.9955169012821662,0.9962032962291828
NN,0.9184147317854284,0.9360272153999336,0.9330979851902876,0.9624989346288246,0.9323711340206186,0.9353983058098744,0.9418614987998932,0.976239576795481,0.934285958757594,0.94150591163659,0.9685286470008071,0.9731642074380878
NN_l2,0.9196957566052842,0.9360272153999336,0.9322369553986568,0.9595158953379356,0.9322061855670104,0.9328313510738429,0.9383945239576852,0.976239576795481,0.9346282193890648,0.9405280469375056,0.9700529005648704,0.973336784882216
logit_l2,0.6664531625300241,0.7577995353468304,0.7118133287411744,0.7614420864229098,0.811958762886598,0.8298109010011123,0.7929593741665926,0.8402223616964045,0.886882861298879,0.8887901146768602,0.8751905316955079,0.9174216929847268
DT,0.8116092874299441,0.8315632260205775,0.7986912347167212,0.8961902326770647,0.8258969072164949,0.8648070505690083,0.8699439950217797,0.8638931229265668,0.8370839394198683,0.8743888345630723,0.8451537702860217,0.8711709379584088
GBM,0.9220176140912729,0.9208430136077,0.9355088686068538,0.9411915111224752,0.9198350515463918,0.9355694361256096,0.9337718908347408,0.9714874921545772,0.918541969709934,0.9085252022401992,0.917152335694432,0.9915437052377254
AdaBoost,0.9955964771817454,0.995353468304016,0.9908730842087136,0.980993778232336,0.980123711340206,0.9789509711645418,0.9787536669926216,0.9883439433336322,0.9798921879010868,0.9792870477375768,0.9786604501031112,0.993183190956942
logit_l1,0.6667734187349879,0.686856953202788,0.7772515929051145,0.7362140969913918,0.780041237113402,0.8180029092153676,0.8031825051115655,0.8400430377476912,0.8891931205613074,0.899635523157614,0.8767147852595714,0.9290706704633704
