,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
logit_l1,,,,,,
logit_l2,0.02107048792464622,0.024876356388868384,0.025091271158313968,0.02688874374047464,0.02747438351536989,0.02344810563988646
DT,0.02421104191449164,0.026438569206842923,0.02930363321799308,0.022899974153528044,0.02308825937448829,0.01960482422376187
RF,,,,,,
AdaBoost,0.03122098421541318,0.03571428571428571,0.027721581278364042,0.026010802873774188,0.02514986563770413,0.022285224500560426
GBM,0.029241150704392087,0.02785676977540479,0.02722878625134264,0.028821752265861027,0.02566208170806816,0.02143290831815422
NN,0.017795438838977194,0.018541033434650456,0.020121184406082085,0.02142647490460816,0.022513303315595583,0.01474615546661049
NN_l2,0.017069701280227598,0.01833596214511041,0.018052057094878254,0.02195945945945946,0.02735562310030395,0.0168827991191583
