,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
AdaBoost,0.03043478260869565,0.013043478260869565,0.026086956521739132,0.026086956521739132,0.053475935828877004,0.036231884057971016
DT,0.7521739130434782,0.7826086956521741,0.7086956521739131,0.7,0.6256684491978609,0.6159420289855072
GBM,0.060869565217391314,0.060869565217391314,0.08695652173913042,0.09130434782608696,0.0427807486631016,0.10144927536231883
logit_l1,0.6869565217391305,0.4260869565217391,0.6043478260869565,0.5782608695652174,0.5561497326203209,0.4565217391304348
logit_l2,0.7,0.6304347826086957,0.6521739130434783,0.7739130434782608,0.46524064171123,0.5217391304347826
NN,0.2391304347826087,0.2608695652173913,0.3,0.26521739130434785,0.3155080213903743,0.2826086956521739
NN_l2,0.26956521739130435,0.2565217391304348,0.30869565217391304,0.2782608695652174,0.2994652406417112,0.2753623188405797
RF,0.0,0.008695652173913044,0.004347826086956522,0.004347826086956522,0.0053475935828877,0.014492753623188406
