,Serie_1_Gap_6,Serie_1_Gap_12,Serie_1_Gap_18,Serie_1_Gap_24,Serie_6_Gap_6,Serie_6_Gap_12,Serie_6_Gap_18,Serie_6_Gap_24,Serie_12_Gap_6,Serie_12_Gap_12,Serie_12_Gap_18,Serie_12_Gap_24
RF,,,0.1,,0.25,,0.0,,,,0.0,0.0
NN,0.013131313131313131,0.009589041095890413,0.021220159151193636,0.023017902813299237,0.015209125475285171,0.0111731843575419,0.02384737678855326,0.02631578947368421,0.014965986394557824,0.014492753623188406,0.028125,0.02120141342756184
NN_l2,0.013347022587268994,0.009589041095890413,0.020942408376963352,0.02112676056338028,0.015170670037926675,0.010723860589812331,0.02245508982035928,0.02631578947368421,0.015047879616963062,0.014240506329113925,0.0297029702970297,0.024734982332155483
logit_l2,0.009778201764846171,0.01226158038147139,0.011862396204033216,0.02002810962754744,0.016093953892996955,0.01455823293172691,0.013686911890504704,0.014021312394840156,0.018982536066818528,0.016962843295638127,0.017946877243359655,0.014814814814814815
DT,0.015598650927487353,0.014742014742014744,0.0140485312899106,0.02789171452009844,0.01509433962264151,0.01831964624131396,0.019781718963165083,0.013898080741230973,0.017232375979112268,0.020480225988700564,0.014467592592592591,0.01208865010073875
GBM,0.0,0.0011098779134295226,0.0,0.007898894154818325,0.001088139281828074,0.0028490028490028487,0.005730659025787965,0.021352313167259787,0.003322259136212625,0.00508130081300813,0.008978675645342313,0.03225806451612903
AdaBoost,,0.0,0.06779661016949153,0.05681818181818181,0.020618556701030927,0.015228426395939087,0.02083333333333333,0.03448275862068965,0.02127659574468085,0.016304347826086956,0.02985074626865672,0.04651162790697674
logit_l1,0.010954989283162658,0.011814124442110791,0.013076923076923076,0.016602809706257982,0.010127531882970742,0.013615023474178405,0.013957676722197207,0.016174010039040714,0.018633540372670808,0.01881720430107527,0.016763848396501458,0.018472906403940892
