,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
logit_l1,0.029020047665778776,0.027714748784440843,0.03325626889560733,0.027088830255057168,0.02083805209513024,0.02551775147928994
logit_l2,0.027769742551345098,0.0272433430814222,0.02949992112320555,0.04061302681992337,0.01880811496196112,0.03165584415584415
DT,0.041317898486197685,0.044885177453027135,0.04020296643247463,0.04465776293823039,0.030318215985968424,0.0302037845705968
RF,0.2222222222222222,0.09090909090909093,0.0,0.07692307692307693,0.0,
AdaBoost,0.0032948929159802307,0.008460236886632827,0.0072072072072072065,0.14285714285714285,0.04444444444444445,0.049773755656108594
GBM,0.009474590869939709,0.005870841487279843,0.010743801652892562,0.010568031704095112,0.013157894736842105,0.01579778830963665
NN,0.03286384976525822,0.036386449184441665,0.03492552645095018,0.04230769230769231,0.022948938611589212,0.02756183745583039
NN_l2,0.041821561338289966,0.026455026455026454,0.032047800108636615,0.0330423940149626,0.022872340425531917,0.02476572958500669
