,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
logit_l1,0.7819142140309558,0.7928527440538826,0.8100223677274314,0.8306939438804343,0.5,0.5
logit_l2,0.7819150356752177,0.7928560107433613,0.8100211006041365,0.8307185628413132,0.7765705450153834,0.775196687150318
DT,0.8231831233500704,0.8056568371606266,0.8059468360995505,0.7791757406796982,0.7821047402236446,0.7894622718996633
RF,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,0.8696170641059884,0.8362826178281857,0.8251018154907308,0.8048883829010912,0.8231104211128208,0.8452382692460289
GBM,0.8827235495288334,0.8671925262987252,0.8721689586777038,0.8593831552531535,0.8556880765311214,0.8645999207880101
NN,0.9555488483613724,0.9556625814971385,1.0,1.0,0.9999999747518716,1.0
NN_l2,0.9563597862448712,0.957790975422086,0.999997709140628,0.9995502397201448,1.0,0.9999994274887146
