,Serie_1_Gap_6,Serie_1_Gap_12,Serie_1_Gap_18,Serie_1_Gap_24,Serie_6_Gap_6,Serie_6_Gap_12,Serie_6_Gap_18,Serie_6_Gap_24,Serie_12_Gap_6,Serie_12_Gap_12,Serie_12_Gap_18,Serie_12_Gap_24
AdaBoost,0.995741243850503,0.9953446463432948,0.9953117674636662,0.996743823883344,0.9954460619634192,0.9952252599152868,0.9949828780759736,0.9958006065790496,0.995074270761179,0.9949109414758268,0.9958626073380172,0.9961467729223225
DT,0.9976508096316804,0.9972921034241788,0.99783041041403,0.9975398710553104,0.9973684210526316,0.997029270423766,0.9972607742878014,0.9977064220183486,0.9966478475652788,0.9967453213995118,0.9974826388888888,0.9973560517038778
GBM,0.9957258433826895,0.9953790726817042,0.9952700378396973,0.9966724537037036,0.9955669622025198,0.9952964074284324,0.995432300163132,0.9946684438520492,0.9952730236348818,0.9949247166300118,0.995436394751854,0.9965841161400512
logit_l1,0.997743088207636,0.9969681657402728,0.9982868992877107,0.9984982166322508,0.997481764501563,0.9978752886836028,0.997364419665484,0.9982370225269344,0.9969591270906,0.9970057163596768,0.9976593446164926,0.9972139494668076
logit_l2,0.998046663049376,0.9981032665964172,0.9977595220313666,0.9984573502722324,0.997521343982374,0.9965384615384616,0.9971496437054632,0.9981412639405204,0.9973078593139384,0.9970403255641879,0.9977950255777032,0.9970972423802612
NN,0.9959010284692204,0.9958027282266528,0.9958811177515748,0.9968437664387164,0.9961921044451352,0.9961931953366644,0.9964716501189792,0.9964900824422496,0.9962910353535354,0.9962464300285596,0.9966798931087536,0.9963911945146156
NN_l2,0.9959821428571428,0.9962173038229376,0.9959258667518772,0.996831145314622,0.9960357559269336,0.9962665819366112,0.9963875205254517,0.9966745072593072,0.9962831158560695,0.9960825920182812,0.9969446738232866,0.9964845605700712
RF,0.9953542392566784,0.9952081461515424,0.995052566481138,0.9963084209793132,0.99523241954708,0.9950791942180532,0.9949149849038614,0.9958126550868488,0.9950791942180532,0.9949141767323586,0.9958136289634856,0.9960678084585808
