,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
logit_l1,0.7112628495993747,0.7163107786081441,0.7334914875833505,0.7530532414612694,0.3349623339268593,0.3363167079110095
logit_l2,0.7112687689231851,0.7160286631293595,0.7334980743737959,0.753097875598775,0.6988577852231551,0.6946091645458858
DT,0.7534698812137808,0.7294982748171697,0.7299788087671855,0.7101675583082967,0.7015297515239917,0.7152701751814897
RF,1.0,1.0,1.0,0.9999963657370022,0.9999958806861444,1.0
AdaBoost,0.7838415431387283,0.750175101146551,0.7362345414918552,0.7270634759283737,0.7371799523831515,0.7607719949699429
GBM,0.7961238577324405,0.7807778238371956,0.7856222585426343,0.7763310088585567,0.7693884489192289,0.7759495060456436
NN,0.918378155096906,0.9221244248822376,0.999987119103162,1.0,0.9999670454751552,1.0
NN_l2,0.9164023269569512,0.9267358755408288,0.9997520436001908,0.9978522385266888,1.0,0.9994960398120722
