,Serie_1_Gap_6,Serie_1_Gap_12,Serie_1_Gap_18,Serie_1_Gap_24,Serie_6_Gap_6,Serie_6_Gap_12,Serie_6_Gap_18,Serie_6_Gap_24,Serie_12_Gap_6,Serie_12_Gap_12,Serie_12_Gap_18,Serie_12_Gap_24
RF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN,0.140625,0.1875,0.203125,0.2075471698113208,0.25,0.25,0.3125,0.2037037037037037,0.265625,0.28125,0.24074074074074076,0.1111111111111111
NN_l2,0.15625,0.265625,0.203125,0.2075471698113208,0.171875,0.265625,0.296875,0.24074074074074076,0.265625,0.25,0.3148148148148148,0.17777777777777778
logit_l2,0.71875,0.71875,0.671875,0.6792452830188679,0.578125,0.4375,0.609375,0.6296296296296297,0.515625,0.5,0.5370370370370371,0.3333333333333333
DT,0.5625,0.515625,0.625,0.4528301886792453,0.515625,0.46875,0.53125,0.5185185185185185,0.40625,0.4375,0.462962962962963,0.4
GBM,0.125,0.078125,0.140625,0.1320754716981132,0.078125,0.09375,0.109375,0.1111111111111111,0.09375,0.0625,0.1111111111111111,0.2
AdaBoost,0.09375,0.03125,0.0625,0.1320754716981132,0.046875,0.03125,0.109375,0.0,0.0,0.0,0.018518518518518517,0.022222222222222227
logit_l1,0.625,0.53125,0.703125,0.6981132075471698,0.546875,0.640625,0.59375,0.6666666666666666,0.46875,0.484375,0.5185185185185185,0.3555555555555556
