,Serie_6_Gap_6,Serie_6_Gap_12,Serie_12_Gap_6,Serie_12_Gap_12,Serie_24_Gap_6,Serie_24_Gap_12
AdaBoost,0.9602218914896496,0.9576250307957626,0.95930032027593,0.9845928099779896,0.9891215195337794,0.9796559009960759
DT,0.7551075632526045,0.7714215323971422,0.7540773589554077,0.7566816895503616,0.8308223613209583,0.8357983700573498
GBM,0.9360483470888016,0.9116038433111604,0.9279132791327912,0.9465464835971072,0.935160802935463,0.954663447026864
logit_l1,0.6843909259008705,0.6990884454299089,0.7276176398127617,0.7035950110051358,0.8100151090006475,0.8367642619981891
logit_l2,0.6929148062959455,0.6835673811283567,0.6923380142892338,0.7340425531914894,0.7960716598316425,0.8523392695442198
NN,0.9425427321517159,0.9134269524513426,0.8970189701897019,0.9105439681375118,0.9208720051802288,0.9109568367038936
NN_l2,0.9429486312181482,0.9068736141906872,0.9013550135501356,0.9068755895608428,0.9152169220807252,0.9059462722607908
RF,0.9871916294592522,0.9853658536585366,0.9859078590785908,0.9848024316109424,0.9921864882365636,0.9916691820102626
