,Serie_1_Gap_6,Serie_1_Gap_12,Serie_1_Gap_18,Serie_1_Gap_24,Serie_6_Gap_6,Serie_6_Gap_12,Serie_6_Gap_18,Serie_6_Gap_24,Serie_12_Gap_6,Serie_12_Gap_12,Serie_12_Gap_18,Serie_12_Gap_24
AdaBoost,0.0530055870484352,0.03700430275430998,0.035575839531643935,0.056266433877380236,0.06426178819259737,0.05190541057275528,0.019862364119590036,-0.0036162314852300798,-0.0022243659898768934,-0.002015959824469229,0.009100725977720856,0.02572435157059856
DT,0.08556112004709272,0.07391893356639243,0.09618932571470984,0.04349625200567347,0.0829346055462419,0.07545900861339445,0.08538284048899664,0.07894882520743103,0.05840522865499636,0.06930333024601693,0.07471282093325861,0.059188865522674
GBM,0.02409362361074754,0.011533828979359305,0.009241398787850628,0.0305696663598173,0.02306014428544161,0.013267422573946874,0.044601823499178864,-0.02696199058031179,0.011309831333844186,0.0005382072805547216,-0.012279765302028728,0.02808680421303964
logit_l1,0.06462739820189344,0.04309390581875687,0.11302093028435015,0.061246333428462536,0.08016300431948825,0.08902070401302438,0.06557088442808594,0.07313639146719116,0.06649734354142049,0.07800320984646061,0.07119132016461162,0.057992090127301485
logit_l2,0.05627866646789307,0.06568407294485047,0.06257480806298134,0.06439198819260827,0.06889278823734389,0.041659819664755175,0.07099768195735133,0.0808551573412954,0.08850973201219052,0.07376759970278543,0.08270472080276227,0.05013981593988235
NN,0.04922719195117165,0.030818248936917713,0.055827336637706164,0.03142509268512154,0.0668600192042719,0.08971886293409809,0.12095339677181152,0.04555418803252277,0.10667142678084983,0.1139008128356824,0.06357362830477263,0.028534322458805137
NN_l2,0.058399040790803075,0.05338554015395668,0.06811298790983862,0.02987827091425642,0.055803020561010185,0.093233761652696,0.1133932825276139,0.06200980500367762,0.10182562885850978,0.0995764692748186,0.06862865836707517,0.022475970828209024
RF,0.0,0.0,0.0,0.0,-0.0008447501535193696,0.0,0.0,-0.0009889240544537071,0.0,-0.000901278021022015,0.0,-0.0008305405809440468
